seq_length,pct_hydrophobic,pct_polar,pct_charged_pos,pct_charged_neg,pct_special,subject_id,dataset,task,target,num_labels,primary_label
1030,49.51,28.74,8.45,10.29,13.3,Q96T76,DeepLoc,classification,,2,Cytoplasm
1204,48.67,29.32,10.3,9.47,14.2,Q9HD20,DeepLoc,classification,,2,Membrane
429,38.0,29.14,12.35,18.18,11.19,Q5EA95,DeepLoc,classification,,1,Cytoplasm
213,34.74,30.05,7.98,25.35,10.8,Q969F1,DeepLoc,classification,,1,Nucleus
147,49.66,23.81,12.93,12.24,21.09,Q96E14,DeepLoc,classification,,1,Nucleus
494,36.64,29.15,15.99,16.4,9.31,Q99615,DeepLoc,classification,,2,Cytoplasm
197,37.06,29.95,13.2,17.26,15.74,Q6ATR0,DeepLoc,classification,,1,Nucleus
858,35.43,27.27,17.37,18.88,9.21,Q3TYA6,DeepLoc,classification,,1,Nucleus
368,39.67,33.15,14.67,11.14,13.32,Q9NVF7,DeepLoc,classification,,1,Nucleus
142,40.85,26.06,14.08,19.01,4.23,Q6QNY1,DeepLoc,classification,,1,Cytoplasm
174,39.66,33.33,11.49,10.34,12.64,Q9D1M4,DeepLoc,classification,,2,Cytoplasm
174,37.93,37.93,10.34,9.2,12.07,O43324,DeepLoc,classification,,2,Cytoplasm
942,44.8,30.04,10.72,10.72,21.44,P52824,DeepLoc,classification,,4,Membrane
934,42.93,32.44,10.92,10.81,17.67,Q6P5E8,DeepLoc,classification,,1,Cytoplasm
268,42.16,25.75,18.28,11.19,14.93,Q2TBK2,DeepLoc,classification,,1,Mitochondrion
1210,37.69,32.89,11.4,15.21,17.85,Q96KQ7,DeepLoc,classification,,1,Nucleus
486,36.21,32.72,16.26,12.35,13.79,E3VXF2,DeepLoc,classification,,1,Nucleus
1214,39.37,32.95,12.69,12.52,14.5,Q16760,DeepLoc,classification,,2,Membrane
1031,26.29,30.16,20.56,20.56,14.06,Q8CH25,DeepLoc,classification,,1,Nucleus
1105,40.45,29.5,11.95,15.11,19.1,Q92922,DeepLoc,classification,,2,Cytoplasm
257,45.53,31.91,9.34,9.34,14.4,P20108,DeepLoc,classification,,1,Mitochondrion
432,41.2,28.24,15.74,12.27,12.27,Q8CD10,DeepLoc,classification,,2,Membrane
350,42.57,30.57,12.86,11.43,13.71,Q3UMR5,DeepLoc,classification,,2,Membrane
351,42.17,31.05,12.82,11.4,13.39,Q8NE86,DeepLoc,classification,,2,Membrane
434,41.01,29.26,14.52,12.21,11.98,Q8IYU8,DeepLoc,classification,,2,Membrane
246,47.56,30.49,9.35,10.57,14.63,Q5VY80,DeepLoc,classification,,2,Membrane
628,44.75,31.05,10.35,12.26,13.54,Q10MC0,DeepLoc,classification,,1,Mitochondrion
249,44.58,31.73,11.24,10.84,14.46,Q8K2M3,DeepLoc,classification,,1,Cytoplasm
654,37.31,34.1,12.84,13.46,11.01,Q96IV0,DeepLoc,classification,,1,Cytoplasm
323,42.11,26.93,15.17,14.24,11.46,P82673,DeepLoc,classification,,1,Mitochondrion
149,42.95,34.9,8.72,12.75,7.38,Q6VAK4,DeepLoc,classification,,2,Cytoplasm
452,37.61,30.09,15.71,15.04,10.18,O35857,DeepLoc,classification,,2,Membrane
453,37.75,30.24,15.67,15.01,10.38,O35094,DeepLoc,classification,,2,Membrane
260,48.46,23.85,13.46,12.69,12.31,Q9BSF4,DeepLoc,classification,,2,Membrane
452,38.5,28.76,16.15,15.27,10.84,O43615,DeepLoc,classification,,2,Membrane
148,43.24,31.76,14.86,5.41,20.27,Q99N92,DeepLoc,classification,,1,Mitochondrion
147,40.14,35.37,10.2,12.93,6.8,Q6VAK3,DeepLoc,classification,,2,Cytoplasm
363,42.15,34.16,8.54,12.95,14.88,Q9NX46,DeepLoc,classification,,3,Cytoplasm
886,39.28,27.2,14.79,16.59,14.79,Q2R1U8,DeepLoc,classification,,2,Mitochondrion
245,45.31,27.35,10.2,15.51,13.47,Q84VZ1,DeepLoc,classification,,1,Plastid
268,44.03,33.58,10.45,11.19,15.67,Q9LVZ5,DeepLoc,classification,,1,Plastid
314,47.77,25.8,14.65,10.83,14.65,Q9JLZ3,DeepLoc,classification,,1,Mitochondrion
194,45.36,36.6,9.28,8.76,19.07,Q9Y584,DeepLoc,classification,,2,Membrane
569,37.08,31.11,11.78,18.63,10.37,Q9H5N1,DeepLoc,classification,,2,Cytoplasm
465,45.81,32.69,9.03,9.03,17.2,Q8R0N6,DeepLoc,classification,,1,Mitochondrion
467,45.61,32.98,8.99,8.99,17.13,Q4QQW3,DeepLoc,classification,,1,Mitochondrion
244,47.13,28.28,10.66,10.66,14.75,Q9BZM6,DeepLoc,classification,,3,Membrane
334,45.21,33.83,8.38,8.68,18.26,Q6H3X3,DeepLoc,classification,,3,Membrane
213,44.13,32.39,9.39,11.74,15.49,Q6H3X3-2,DeepLoc,classification,,1,Extracellular
707,43.0,36.35,9.34,8.63,20.93,Q8TBC3,DeepLoc,classification,,1,Lysosome/Vacuole
723,44.26,28.49,11.62,13.55,10.24,Q8N1B4,DeepLoc,classification,,3,Membrane
264,46.97,24.62,13.26,13.26,13.26,O75489,DeepLoc,classification,,2,Membrane
246,34.96,32.93,13.82,16.26,13.41,Q9SRM4,DeepLoc,classification,,1,Nucleus
502,41.04,31.47,10.16,13.35,17.33,Q9NXG6,DeepLoc,classification,,2,Membrane
592,44.76,29.9,12.33,11.15,15.03,Q9R194,DeepLoc,classification,,2,Cytoplasm
555,49.01,28.47,10.27,10.81,9.91,Q8NBN3,DeepLoc,classification,,2,Membrane
339,34.51,47.49,8.26,7.96,21.83,Q96BY9,DeepLoc,classification,,2,Membrane
252,38.1,33.33,11.9,14.68,8.73,Q06469,DeepLoc,classification,,1,Nucleus
261,49.04,33.72,8.43,8.05,17.62,Q99714,DeepLoc,classification,,1,Mitochondrion
1296,36.11,34.8,11.65,14.58,14.58,Q5DW34,DeepLoc,classification,,1,Nucleus
273,38.46,23.81,16.85,17.95,12.09,P23025,DeepLoc,classification,,1,Nucleus
589,48.22,25.64,10.02,14.09,9.85,Q32PI5,DeepLoc,classification,,1,Cytoplasm
589,48.22,25.81,10.02,14.09,9.68,P30153,DeepLoc,classification,,3,Membrane
2005,40.65,30.87,13.02,13.22,14.36,A6NHR9,DeepLoc,classification,,1,Nucleus
371,41.51,29.92,11.05,14.82,10.51,Q9JIF0,DeepLoc,classification,,2,Cytoplasm
371,41.51,30.19,11.05,14.82,10.24,Q99873,DeepLoc,classification,,2,Cytoplasm
353,40.79,29.75,11.61,15.01,10.2,Q63009,DeepLoc,classification,,1,Cytoplasm
362,42.82,27.9,12.71,13.81,11.88,P55263,DeepLoc,classification,,1,Nucleus
299,40.13,30.77,7.36,20.07,15.38,Q60415,DeepLoc,classification,,2,Membrane
299,39.8,31.44,7.69,19.73,14.05,P40855,DeepLoc,classification,,3,Membrane
681,43.47,28.78,11.45,13.66,13.22,Q7XVN7,DeepLoc,classification,,2,Membrane
741,42.78,29.15,10.8,14.17,15.25,Q99567,DeepLoc,classification,,1,Nucleus
627,26.79,42.26,13.88,9.09,18.66,Q9Y2P7,DeepLoc,classification,,1,Nucleus
274,48.54,30.66,8.39,8.03,18.25,Q53H96,DeepLoc,classification,,1,Cytoplasm
357,46.5,27.17,10.92,12.32,10.64,Q8TCE6,DeepLoc,classification,,1,Lysosome/Vacuole
636,33.81,30.66,15.25,13.99,17.45,A2APF3,DeepLoc,classification,,1,Nucleus
437,44.39,29.29,11.44,14.19,13.96,Q9SSA5,DeepLoc,classification,,1,Plastid
173,41.04,32.95,17.34,6.94,15.03,Q93Z17,DeepLoc,classification,,1,Mitochondrion
253,33.6,23.72,26.88,13.83,6.72,Q8R5K5,DeepLoc,classification,,1,Nucleus
555,50.27,27.03,9.55,10.81,12.43,Q96S52,DeepLoc,classification,,2,Membrane
361,44.04,28.53,11.08,12.47,15.24,P26696,DeepLoc,classification,,1,Cytoplasm
698,44.99,28.22,11.6,11.46,17.91,Q6ZRP7,DeepLoc,classification,,2,Membrane
167,44.31,25.15,17.37,11.38,13.17,Q9H1K1,DeepLoc,classification,,1,Mitochondrion
371,42.05,29.11,10.24,15.9,14.56,Q7Y0B9,DeepLoc,classification,,2,Cytoplasm
127,53.54,27.56,13.39,3.94,14.17,Q9D023,DeepLoc,classification,,2,Membrane
1352,39.57,35.95,10.21,12.06,15.61,Q80Z10,DeepLoc,classification,,3,Membrane
184,37.5,35.33,10.87,13.59,15.22,P10109,DeepLoc,classification,,1,Mitochondrion
223,36.32,36.32,13.0,12.11,13.9,Q6AXT5,DeepLoc,classification,,1,Golgi apparatus
222,36.49,36.04,13.06,12.16,13.51,P35282,DeepLoc,classification,,5,Membrane
225,35.11,37.78,12.89,12.0,15.56,Q9UL25,DeepLoc,classification,,5,Membrane
1605,37.82,45.48,8.85,6.85,16.76,Q640Z6,DeepLoc,classification,,2,Membrane
250,42.8,23.6,20.4,10.4,10.8,Q9HD33,DeepLoc,classification,,1,Mitochondrion
200,46.5,31.5,10.5,11.0,9.0,Q9SN68,DeepLoc,classification,,3,Membrane
350,52.29,28.0,9.43,6.86,15.71,P27544,DeepLoc,classification,,2,Membrane
741,42.24,31.71,10.26,12.55,17.41,Q9R0E1,DeepLoc,classification,,3,Membrane
708,36.3,34.04,15.68,12.57,16.24,Q8NCN4,DeepLoc,classification,,1,Nucleus
305,42.95,30.16,15.08,8.85,14.43,Q8NEY3,DeepLoc,classification,,1,Nucleus
1130,39.12,35.22,11.86,12.48,13.45,P23229,DeepLoc,classification,,2,Membrane
136,44.85,27.21,13.97,11.76,13.24,Q9Z266,DeepLoc,classification,,3,Membrane
1402,44.01,32.74,8.49,11.91,11.98,Q9Z0W3,DeepLoc,classification,,1,Nucleus
231,44.59,34.63,9.96,8.23,20.78,Q9WUI0,DeepLoc,classification,,1,Nucleus
671,39.79,32.79,11.03,14.46,11.18,Q9CXF4,DeepLoc,classification,,1,Cytoplasm
204,37.25,31.37,14.22,15.69,12.25,P62070,DeepLoc,classification,,3,Membrane
245,32.65,40.0,17.14,8.16,13.88,Q92913,DeepLoc,classification,,2,Cytoplasm
1198,40.48,31.22,10.93,13.19,13.86,B5DEL3,DeepLoc,classification,,1,Cytoplasm
427,46.14,47.54,3.04,1.87,9.6,C7IVR4-4,DeepLoc,classification,,1,Cytoplasm
360,39.72,31.94,14.17,13.33,13.06,Q9FKW6,DeepLoc,classification,,2,Membrane
517,30.95,40.43,10.64,15.28,20.5,Q6ZN18,DeepLoc,classification,,1,Nucleus
543,39.41,44.2,7.55,6.81,21.18,P18146,DeepLoc,classification,,2,Cytoplasm
533,39.21,44.09,7.69,6.94,21.39,P08046,DeepLoc,classification,,1,Nucleus
935,51.34,28.45,9.2,9.41,20.86,Q96C12,DeepLoc,classification,,1,Cytoplasm
675,47.41,30.22,10.96,9.93,15.11,Q9UJS0,DeepLoc,classification,,2,Membrane
726,40.63,34.57,10.74,11.29,17.49,Q9UW98,DeepLoc,classification,,1,Extracellular
112,42.86,29.46,13.39,10.71,15.18,Q96EL3,DeepLoc,classification,,1,Mitochondrion
112,42.86,32.14,12.5,8.93,13.39,Q2HJF1,DeepLoc,classification,,1,Mitochondrion
385,40.78,33.51,9.35,12.99,16.1,P35613,DeepLoc,classification,,2,Membrane
269,40.52,33.83,10.04,13.01,15.24,P35613-2,DeepLoc,classification,,4,Membrane
470,42.55,34.68,9.15,10.43,15.32,Q19087,DeepLoc,classification,,1,Cytoplasm
272,41.18,33.82,10.29,13.24,13.97,P26453-2,DeepLoc,classification,,2,Membrane
389,40.62,34.19,10.28,12.6,14.91,P18572,DeepLoc,classification,,2,Membrane
273,39.56,35.53,10.62,12.82,13.55,P18572-2,DeepLoc,classification,,2,Membrane
781,45.84,27.53,12.93,11.65,16.01,Q3ULF4,DeepLoc,classification,,2,Membrane
206,42.23,27.18,16.99,9.71,14.56,P0C2C0,DeepLoc,classification,,1,Mitochondrion
234,50.85,27.35,10.68,8.55,20.51,Q8IVS8-2,DeepLoc,classification,,1,Mitochondrion
523,50.1,29.25,8.22,9.37,18.16,Q8IVS8,DeepLoc,classification,,1,Cytoplasm
421,41.81,32.3,12.83,11.64,14.73,P08503,DeepLoc,classification,,1,Mitochondrion
579,38.0,36.79,11.92,11.74,15.89,Q9FK07,DeepLoc,classification,,1,Mitochondrion
482,44.81,30.5,11.83,11.0,14.73,P11181,DeepLoc,classification,,1,Mitochondrion
242,45.87,31.4,11.57,9.92,17.36,Q9NPA0,DeepLoc,classification,,2,Membrane
108,41.67,32.41,10.19,11.11,11.11,P62877,DeepLoc,classification,,2,Cytoplasm
578,46.19,33.04,9.69,8.65,14.88,Q969N2,DeepLoc,classification,,2,Membrane
371,42.05,29.92,11.86,14.29,13.75,Q84W65,DeepLoc,classification,,2,Mitochondrion
174,43.68,28.16,11.49,15.52,17.24,O43598,DeepLoc,classification,,1,Cytoplasm
235,46.81,27.23,11.06,10.64,10.64,Q9NVX0,DeepLoc,classification,,1,Cytoplasm
1040,46.15,31.54,8.46,10.19,17.69,Q9NTJ4,DeepLoc,classification,,1,Cytoplasm
2102,44.43,31.45,10.7,11.13,12.94,P42356,DeepLoc,classification,,3,Membrane
1039,44.75,33.4,8.08,10.01,17.42,Q91W89,DeepLoc,classification,,1,Cytoplasm
188,42.02,31.38,11.17,13.3,13.83,P24483,DeepLoc,classification,,1,Mitochondrion
1907,36.13,30.68,11.96,19.09,14.74,Q5JRA6,DeepLoc,classification,,2,Membrane
351,44.44,30.77,11.4,11.68,13.11,Q8N335,DeepLoc,classification,,1,Cytoplasm
335,42.69,32.24,11.04,12.84,12.84,Q9LXL9,DeepLoc,classification,,1,Nucleus
978,41.62,27.81,14.52,15.03,12.17,Q75GT3,DeepLoc,classification,,1,Plastid
525,43.24,35.81,8.76,9.33,21.9,Q96N21,DeepLoc,classification,,3,Membrane
619,30.86,29.4,20.52,15.83,18.74,Q9BRD0,DeepLoc,classification,,1,Nucleus
318,38.99,33.65,9.75,14.47,16.04,G5EGK8,DeepLoc,classification,,1,Cytoplasm
283,43.46,24.73,19.08,11.66,11.31,P78345,DeepLoc,classification,,1,Nucleus
622,46.3,24.28,13.02,13.34,13.83,Q8NBJ5,DeepLoc,classification,,1,Endoplasmic reticulum
1776,39.41,34.91,12.11,11.37,14.19,Q6A070,DeepLoc,classification,,1,Cytoplasm
471,42.25,35.67,10.19,9.13,18.68,Q9UBL9,DeepLoc,classification,,2,Membrane
485,41.24,35.88,10.31,9.69,17.73,Q8K3P1,DeepLoc,classification,,2,Membrane
253,43.87,26.48,15.42,12.25,13.04,Q96S44,DeepLoc,classification,,2,Cytoplasm
439,45.79,27.79,12.3,11.62,12.98,Q9NP92,DeepLoc,classification,,1,Mitochondrion
578,51.21,30.28,8.65,8.3,14.19,Q3TD49,DeepLoc,classification,,2,Membrane
926,51.84,28.4,8.96,8.96,21.06,Q5EBP3,DeepLoc,classification,,1,Cytoplasm
205,49.76,30.24,9.27,8.78,15.12,Q96AB3,DeepLoc,classification,,2,Cytoplasm
456,30.7,44.52,11.62,12.28,16.01,O80925,DeepLoc,classification,,1,Golgi apparatus
254,45.28,31.89,9.45,11.02,19.69,Q5UCC4-2,DeepLoc,classification,,1,Extracellular
725,41.79,30.9,12.14,12.0,14.07,Q96RQ3,DeepLoc,classification,,1,Mitochondrion
221,43.44,33.03,9.5,9.5,15.38,Q5VWZ2-2,DeepLoc,classification,,1,Cytoplasm
237,43.04,33.76,9.7,9.28,15.61,Q5VWZ2,DeepLoc,classification,,1,Cytoplasm
394,39.09,27.92,16.5,13.96,13.96,Q6P6C2,DeepLoc,classification,,1,Nucleus
133,43.61,36.09,15.04,4.51,14.29,Q9SL05,DeepLoc,classification,,2,Membrane
1426,46.77,32.26,10.24,9.4,12.48,Q7PC88,DeepLoc,classification,,2,Membrane
204,43.63,37.25,8.82,9.31,18.63,Q9R1S0,DeepLoc,classification,,1,Cytoplasm
676,46.01,31.07,12.72,7.84,17.75,P51787,DeepLoc,classification,,4,Membrane
272,46.32,33.46,9.56,9.56,12.87,Q9SQR2,DeepLoc,classification,,1,Plastid
364,50.82,33.79,7.42,5.49,9.89,P61793,DeepLoc,classification,,2,Membrane
278,44.24,29.86,13.31,11.51,12.95,Q0JD85,DeepLoc,classification,,1,Plastid
500,33.8,33.6,16.4,13.8,8.6,Q8CEE0,DeepLoc,classification,,1,Cytoplasm
500,33.8,33.2,17.0,13.6,9.0,Q86XR8,DeepLoc,classification,,1,Cytoplasm
501,39.72,31.94,12.77,12.38,14.37,Q12933,DeepLoc,classification,,1,Cytoplasm
2843,31.9,40.45,12.73,12.56,13.82,P25054,DeepLoc,classification,,3,Membrane
332,48.19,33.13,10.24,4.22,19.88,P16260,DeepLoc,classification,,2,Membrane
907,48.51,30.98,10.14,8.6,14.77,P35525,DeepLoc,classification,,2,Membrane
620,34.84,43.06,8.23,10.0,19.68,Q6VN19,DeepLoc,classification,,2,Cytoplasm
620,35.0,43.23,8.39,9.68,19.52,Q6VN20,DeepLoc,classification,,2,Cytoplasm
252,50.79,29.37,7.14,9.52,18.65,Q6MWE5,DeepLoc,classification,,2,Membrane
695,31.8,27.05,21.73,16.4,12.81,Q02040,DeepLoc,classification,,1,Nucleus
452,44.91,26.55,12.61,12.61,17.7,P49411,DeepLoc,classification,,1,Mitochondrion
1593,45.57,28.81,8.79,13.75,16.01,Q80TM9,DeepLoc,classification,,1,Cytoplasm
166,42.17,30.12,15.06,8.43,13.86,P82195,DeepLoc,classification,,1,Plastid
404,42.82,29.46,12.62,13.61,11.39,Q5VNM3,DeepLoc,classification,,2,Cytoplasm
404,42.57,29.7,12.62,13.61,11.39,Q10I26,DeepLoc,classification,,2,Cytoplasm
192,42.19,33.33,13.02,10.42,9.9,F4I3V6,DeepLoc,classification,,2,Membrane
1121,36.31,33.54,14.72,12.4,18.38,Q6IQ23,DeepLoc,classification,,1,Cytoplasm
475,40.21,34.32,10.53,12.63,13.47,Q9LQK7,DeepLoc,classification,,1,Plastid
266,47.37,24.81,12.78,13.16,13.16,P23709,DeepLoc,classification,,2,Membrane
142,47.89,27.46,7.75,16.9,15.49,Q9NS69,DeepLoc,classification,,2,Membrane
592,52.87,29.73,8.95,7.43,16.05,Q8TCT7,DeepLoc,classification,,4,Membrane
209,47.85,26.32,14.35,9.57,13.4,Q2TBS2,DeepLoc,classification,,1,Mitochondrion
963,37.49,40.91,9.03,10.18,14.33,A0A1D5PUP4,DeepLoc,classification,,2,Membrane
262,50.0,25.95,12.21,8.02,18.7,Q3MHY7,DeepLoc,classification,,1,Mitochondrion
261,47.89,28.35,12.26,8.43,17.24,Q7Z7H8,DeepLoc,classification,,1,Mitochondrion
316,41.46,31.96,12.03,12.03,17.09,Q10S65,DeepLoc,classification,,1,Nucleus
256,46.09,32.81,8.98,8.59,15.62,P30048,DeepLoc,classification,,1,Lysosome/Vacuole
1141,40.84,31.73,10.69,12.62,14.02,Q96AE7,DeepLoc,classification,,3,Membrane
206,42.72,27.67,16.99,8.74,16.5,Q9NWU5,DeepLoc,classification,,1,Mitochondrion
659,40.97,34.45,11.38,11.23,15.02,Q3E991,DeepLoc,classification,,3,Membrane
1123,47.2,29.83,5.52,15.58,24.31,Q9DBD5,DeepLoc,classification,,2,Cytoplasm
1130,47.35,28.23,5.93,16.73,24.25,Q8IZL8,DeepLoc,classification,,1,Nucleus
1130,46.64,30.53,5.49,15.66,23.98,Q56B11,DeepLoc,classification,,2,Cytoplasm
485,41.44,33.61,10.93,11.13,15.26,Q9NVX2,DeepLoc,classification,,1,Nucleus
430,38.37,32.09,17.67,9.77,16.51,Q2KID9,DeepLoc,classification,,1,Mitochondrion
564,38.65,33.87,16.31,8.51,12.23,Q8R2U2,DeepLoc,classification,,1,Nucleus
406,42.61,30.79,10.59,13.3,8.13,Q9BT78,DeepLoc,classification,,2,Cytoplasm
474,41.14,35.23,11.18,11.81,14.77,P10896,DeepLoc,classification,,1,Plastid
387,48.06,27.91,9.04,11.11,19.64,P82350,DeepLoc,classification,,3,Membrane
290,39.66,33.1,15.52,10.69,12.76,Q9YHT2,DeepLoc,classification,,2,Membrane
163,49.69,28.22,10.43,8.59,20.25,Q9BX68,DeepLoc,classification,,1,Mitochondrion
154,39.61,40.91,9.09,10.39,13.64,Q86U28,DeepLoc,classification,,1,Mitochondrion
1331,49.06,33.81,7.44,8.11,13.37,Q6T3U3,DeepLoc,classification,,2,Membrane
1052,40.78,31.75,11.88,13.02,14.83,Q05397,DeepLoc,classification,,1,Cytoplasm
1053,41.22,31.34,11.87,13.01,14.81,Q00944,DeepLoc,classification,,4,Membrane
699,43.49,29.47,11.87,11.87,18.31,Q9UKM7,DeepLoc,classification,,2,Membrane
1179,36.22,32.49,13.91,14.59,11.2,Q92896,DeepLoc,classification,,2,Membrane
292,45.55,25.68,15.75,11.64,15.75,P49406,DeepLoc,classification,,1,Mitochondrion
925,37.3,36.97,11.35,10.49,15.24,Q64702,DeepLoc,classification,,3,Cytoplasm
1212,45.71,33.5,9.65,8.58,17.24,Q5SUQ9,DeepLoc,classification,,1,Nucleus
783,42.78,32.69,11.88,11.24,13.15,Q8K1R3,DeepLoc,classification,,2,Membrane
783,42.53,32.82,11.88,11.62,12.77,Q8TCS8,DeepLoc,classification,,3,Membrane
368,40.49,31.79,12.23,11.14,16.85,Q9Y2S7,DeepLoc,classification,,2,Nucleus
783,43.68,28.86,11.88,14.05,14.94,Q9SI75,DeepLoc,classification,,1,Plastid
1962,31.6,34.35,14.58,16.0,12.9,Q9WUF3,DeepLoc,classification,,1,Nucleus
887,38.22,31.57,11.39,16.12,15.78,Q62940,DeepLoc,classification,,1,Cytoplasm
715,35.66,30.21,16.36,15.66,10.49,Q8IYE1,DeepLoc,classification,,1,Cytoplasm
483,41.41,29.19,15.11,12.42,14.7,Q6STE5,DeepLoc,classification,,1,Nucleus
284,45.77,36.62,9.86,4.58,27.11,Q3TWL2,DeepLoc,classification,,3,Membrane
277,46.21,35.74,10.47,4.69,26.35,Q86T03,DeepLoc,classification,,2,Membrane
257,45.53,35.41,10.89,5.84,18.68,Q8N4L2,DeepLoc,classification,,2,Membrane
257,44.75,36.58,10.51,5.45,19.07,Q9CZX7,DeepLoc,classification,,3,Membrane
881,38.59,29.17,18.16,12.49,14.87,Q8TDD1,DeepLoc,classification,,1,Nucleus
132,36.36,33.33,14.39,15.15,9.85,C4N147,DeepLoc,classification,,2,Membrane
1116,33.87,35.48,13.89,13.98,13.53,Q9HAU0,DeepLoc,classification,,1,Cytoplasm
353,43.63,29.75,9.63,15.3,11.05,Q949M9,DeepLoc,classification,,1,Cytoplasm
362,48.9,27.35,9.67,13.26,13.54,A8IXB8,DeepLoc,classification,,1,Cytoplasm
611,36.99,45.5,8.02,8.02,25.04,Q9C658,DeepLoc,classification,,1,Cytoplasm
441,34.47,29.25,19.27,15.19,14.29,Q9CZ91,DeepLoc,classification,,1,Cytoplasm
406,31.28,31.77,16.01,17.73,9.85,P53298,DeepLoc,classification,,1,Nucleus
510,39.22,34.12,11.57,11.96,16.27,Q96GM8,DeepLoc,classification,,1,Nucleus
981,41.39,28.54,11.72,15.39,15.09,Q15042,DeepLoc,classification,,1,Cytoplasm
727,26.41,29.57,19.12,21.6,15.68,Q96MU7,DeepLoc,classification,,1,Nucleus
738,26.42,29.81,18.83,21.68,15.72,Q9QY02,DeepLoc,classification,,1,Nucleus
736,26.36,30.03,18.89,21.47,15.49,E9Q5K9,DeepLoc,classification,,1,Nucleus
869,40.74,31.65,11.51,13.92,18.76,Q6TLK4,DeepLoc,classification,,2,Membrane
919,45.16,31.77,10.23,9.47,20.02,Q9HAP2,DeepLoc,classification,,4,Membrane
917,43.73,34.35,9.81,9.05,19.08,Q2VPU4,DeepLoc,classification,,4,Membrane
459,49.02,28.76,7.63,13.73,20.48,Q01657,DeepLoc,classification,,1,Cytoplasm
748,42.51,36.1,9.76,8.69,26.34,Q9CW46,DeepLoc,classification,,2,Cytoplasm
194,40.21,26.29,11.86,20.1,17.01,Q95250,DeepLoc,classification,,2,Membrane
195,39.49,27.18,11.79,20.0,17.95,O55022,DeepLoc,classification,,2,Membrane
828,35.51,33.09,13.53,16.18,10.99,Q5VVJ2,DeepLoc,classification,,1,Nucleus
835,34.13,30.66,14.85,17.84,8.14,Q8BR07,DeepLoc,classification,,1,Golgi apparatus
150,38.67,28.67,13.33,16.67,11.33,O23676,DeepLoc,classification,,2,Cytoplasm
636,36.48,36.64,11.95,12.11,13.52,Q8WYA1,DeepLoc,classification,,1,Nucleus
349,43.55,31.52,10.6,11.75,17.77,Q8WTS1,DeepLoc,classification,,1,Cytoplasm
2443,42.16,32.5,9.54,12.44,10.85,Q96JI7,DeepLoc,classification,,2,Cytoplasm
271,36.53,33.21,10.33,16.97,11.07,B2RYG6,DeepLoc,classification,,1,Cytoplasm
